	S110	S81	S32	S68	S143	S133	S174	S36	S3	S9	S165	S158	S66	S69
S110	0.0	0.8631843701558196	3.0019875042681674	3.250819592603338	0.5611610535057524	3.190982425365733	2.848720503643478	2.159133549616363	3.5762549089726696	3.8921143475539397	2.1662712874251704	1.9101451247373562	2.5237164589451826	2.654159294546161
S81	0.8631843701558196	0.0	2.3230875650957463	2.692815133754448	0.3691247283160991	2.5616227169996524	2.457264125669851	1.6263055229550372	2.73224029006869	3.0938777087633538	1.6429199577593034	1.3797538869749872	2.140063668213622	2.1377053838907814
S32	3.0019875042681674	2.3230875650957463	0.0	0.7059274400616752	2.4653671013338623	0.3826714967817779	1.1535486808217215	0.9800123266095909	1.396868201258293	2.9937700046636495	0.9772822428659872	1.1853410812930785	1.166892316938462	0.7689912359723962
S68	3.250819592603338	2.692815133754448	0.7059274400616752	0.0	2.7623269327707995	0.35355118439354477	0.7360412443596889	1.0947446558600997	2.008968634257993	3.6828741932804183	1.0850953372099557	1.350041957937658	0.9059202781165322	0.6039042294454195
S143	0.5611610535057524	0.3691247283160991	2.4653671013338623	2.7623269327707995	0.0	2.6736365677655134	2.430329091553478	1.6712891338463904	3.020145980759121	3.443532417158378	1.6811743108179356	1.4204576795020936	2.1065767787461667	2.1789150800783417
S133	3.190982425365733	2.5616227169996524	0.3826714967817779	0.35355118439354477	2.6736365677655134	0.0	0.9752881483831884	1.0582822269701702	1.6589728499920957	3.3343606702549073	1.0548722838340467	1.2986775227093874	1.0665960893438902	0.673328793063014
S174	2.848720503643478	2.457264125669851	1.1535486808217215	0.7360412443596889	2.430329091553478	0.9752881483831884	0.0	0.8974792169003274	2.543086792162216	4.046783485864405	0.8649469464585643	1.1177879069805787	0.3373955022421649	0.5242015653580324
S36	2.159133549616363	1.6263055229550372	0.9800123266095909	1.0947446558600997	1.6712891338463904	1.0582822269701702	0.8974792169003274	0.0	2.1029637764292413	3.3799974869011216	0.05363517155924765	0.2580392903599691	0.6221079695452396	0.5127792490637552
S3	3.5762549089726696	2.73224029006869	1.396868201258293	2.008968634257993	3.020145980759121	1.6589728499920957	2.543086792162216	2.1029637764292413	0.0	1.817340804724524	2.120769804853199	2.187032057892005	2.505507908280878	2.0959902337088927
S9	3.8921143475539397	3.0938777087633538	2.9937700046636495	3.6828741932804183	3.443532417158378	3.3343606702549073	4.046783485864405	3.3799974869011216	1.817340804724524	0.0	3.3988392616787886	3.3424850652311457	3.9189485441267844	3.584062763183997
S165	2.1662712874251704	1.6429199577593034	0.9772822428659872	1.0850953372099557	1.6811743108179356	1.0548722838340467	0.8649469464585643	0.05363517155924765	2.120769804853199	3.3988392616787886	0.0	0.2817727163870562	0.5901229098649833	0.4995267149278004
S158	1.9101451247373562	1.3797538869749872	1.1853410812930785	1.350041957937658	1.4204576795020936	1.2986775227093874	1.1177879069805787	0.2580392903599691	2.187032057892005	3.3424850652311457	0.2817727163870562	0.0	0.8121204404565051	0.7675539125853272
S66	2.5237164589451826	2.140063668213622	1.166892316938462	0.9059202781165322	2.1065767787461667	1.0665960893438902	0.3373955022421649	0.6221079695452396	2.505507908280878	3.9189485441267844	0.5901229098649833	0.8121204404565051	0.0	0.43501530210799105
S69	2.654159294546161	2.1377053838907814	0.7689912359723962	0.6039042294454195	2.1789150800783417	0.673328793063014	0.5242015653580324	0.5127792490637552	2.0959902337088927	3.584062763183997	0.4995267149278004	0.7675539125853272	0.43501530210799105	0.0
