	S375	S366	S249	S258	S335	S391	S271	S302	S324	S372	S383	S276	S384	S357	S347	S307	S238	S376	S236	S216	S333	S338	S386	S350	S390	S291	S340	S269	S381	S325	S244	S315	S332	S290	S234
S375	0.0	1.935142344230421	1.7197272820645981	2.334543589012337	0.2182788086946667	1.7412188362857322	1.9449617366586718	1.394629113390499	2.1413890517515672	1.685619195822771	1.9963609730520555	2.7191763458864773	0.809088166154153	2.2387961149405275	1.991659671332844	2.032962208937024	2.2971950056181583	1.2865802082591782	1.5688303366957006	0.7858785344526692	1.881548040309635	2.4707669706807187	4.8302138686082685	0.3799604991429456	3.2372474225113277	2.0506090856569195	2.155857012359317	1.7468058196183	1.3904560997286115	1.6038938053402083	2.371504273837762	2.318662317700266	2.0562362942085413	2.0513113782884655	1.2288537434672573
S366	1.935142344230421	0.0	0.6904683769548994	0.5153103741819416	1.9169814701948291	2.8749314292957995	0.18421249855959104	1.5469850184280158	0.50947101181757	0.7337934206296091	2.4614281921411023	1.3487474940650925	2.7410487627060083	1.088262917246566	3.764689942840236	0.36744258483376957	0.5275525011511188	1.484076055795255	0.37774682332450277	1.2496009853383494	0.6580152228092803	0.6810359933301717	4.6548799795005005	1.6071024982553108	3.73873398160287	0.23136966490118246	0.4756373215379111	0.3009547757580214	1.363357576076529	0.35219672693206777	0.5754585464823445	0.48870977078402594	0.5177591209046022	0.30536490571729374	1.4358544298427278
S249	1.7197272820645981	0.6904683769548994	0.0	0.7763347390060458	1.7688571089859682	2.2757957586934534	0.6765226827840459	0.904872675522289	0.5092681115314539	0.12274545480570875	1.784063572360361	1.0344536442464518	2.471702199738319	0.5972334358088827	3.6890910231663643	0.483794529009433	0.8135319443184895	0.8689150209240788	0.6645964549978159	1.2677771569941516	0.19162407598332556	0.942068871929554	4.023372265305989	1.4807763447615705	3.0522185333423115	0.7035142262552371	0.5927977061324466	0.40683531425176905	0.72450075655978	0.5031430898692785	0.8023878381688461	0.8441218965304078	0.4888722118893234	0.6376088417667782	0.8399464163349633
S258	2.334543589012337	0.5153103741819416	0.7763347390060458	0.0	2.3475968663846	3.0202036168589608	0.45910601746264085	1.6628800988103993	0.2772649603237824	0.807466745687151	2.4899388234441275	0.9575213322806675	3.123531507226362	0.8481500673276335	4.214515593628137	0.31428974358346645	0.1827303111698607	1.6363473660065866	0.8325449259406053	1.714949825350003	0.625832752317616	0.22552856977905136	4.393827139368718	2.039808081856163	3.673953881568315	0.352229365626698	0.21541252464940217	0.6001429284856113	1.4844024012306851	0.7507976004646512	0.06953036782104338	0.1547723941839581	0.3540130040815964	0.3098464541118663	1.6044212982432653
S335	0.2182788086946667	1.9169814701948291	1.7688571089859682	2.3475968663846	0.0	1.9413326705042642	1.941804092806445	1.5318213151728663	2.1692753311035764	1.7455103324332695	2.174479675805518	2.787517171311125	0.8876655916644326	2.314818352029819	1.9361119089396723	2.0517374856084714	2.3143416294601304	1.4172188898437268	1.5524020374353065	0.7036592281676948	1.9320300720988424	2.490092589174515	5.006151733079657	0.30998634571292244	3.4313832338181487	2.0502410175087	2.181322689565645	1.7548319385762015	1.5115872452613592	1.6022854931301964	2.3892702292208363	2.327606589583924	2.092147258485487	2.061950082264196	1.3577588359366017
S391	1.7412188362857322	2.8749314292957995	2.2757957586934534	3.0202036168589608	1.9413326705042642	0.0	2.841476310344817	1.3815993082940137	2.752732972664041	2.2204045785434072	0.8765681293320844	2.828794711147817	1.6723516016010218	2.4201974708338607	3.0494364293930873	2.737175018013406	3.0086076836754194	1.417778911550999	2.615865799668849	2.2888376958240757	2.4022552105797312	3.131385752932537	3.428416803703404	1.992207144536451	1.6039554732439543	2.903967611621427	2.81302108429423	2.580796337478307	1.5539887853991776	2.5430945586363745	3.0289595560520453	3.0648298690580518	2.67843206645138	2.841713480943929	1.4503732923878883
S271	1.9449617366586718	0.18421249855959104	0.6765226827840459	0.45910601746264085	1.941804092806445	2.841476310344817	0.0	1.5252865582453845	0.4579338872031089	0.6912778343998142	2.430076411934225	1.3101547590316032	2.74444552556632	1.0427973434751987	3.7775589370364973	0.3165986340078732	0.41292518251225707	1.4686026936057794	0.39845670972140995	1.285405352171534	0.6130428670619795	0.5837556012099535	4.599759904071592	1.6332584169553879	3.6893089647645896	0.11225507823256217	0.38306254710055043	0.3123422017190384	1.3405097210447217	0.3745855135647218	0.5042252009336495	0.39919951396178166	0.4127605129031365	0.17574670893658859	1.4180543837542385
S302	1.394629113390499	1.5469850184280158	0.904872675522289	1.6628800988103993	1.5318213151728663	1.3815993082940137	1.5252865582453845	0.0	1.3895244917917713	0.864471805032326	0.9435547081819753	1.5649993349648437	1.950266667543324	1.1081443379378804	3.3373664102876206	1.379685099645218	1.6763065322083857	0.12429433645731172	1.360035378542399	1.4093337451756505	1.0377238951493521	1.797308028400181	3.5649377168621275	1.3557713073803261	2.279778264532242	1.57477203823053	1.4649380160606464	1.2469996250119713	0.18488719409807416	1.247728284148153	1.6769590120217714	1.723761385112446	1.3378405270095897	1.508870514609763	0.19555630361205156
S324	2.1413890517515672	0.50947101181757	0.5092681115314539	0.2772649603237824	2.1692753311035764	2.752732972664041	0.4579338872031089	1.3895244917917713	0.0	0.5436658713278708	2.2171633423387185	0.853562271103603	2.9181203328037504	0.6246544402404552	4.0632682876636705	0.15310469516445363	0.35508328596073907	1.3660935996933479	0.7393914406457126	1.5758195748817647	0.3520036206082216	0.4497578405795078	4.200394220152168	1.8660242600040435	3.4173219307795644	0.3961782613904569	0.14025825812496803	0.44327692118674855	1.212549374308123	0.614982489957049	0.29743585793775174	0.3783204220920174	0.17191332607052762	0.31081600244503993	1.3377465930543566
S372	1.685619195822771	0.7337934206296091	0.12274545480570875	0.807466745687151	1.7455103324332695	2.2204045785434072	0.6912778343998142	0.864471805032326	0.5436658713278708	0.0	1.7439846852518919	1.0609022002267894	2.43062786818628	0.6070990408739503	3.6529508372530533	0.5179581890581563	0.8193516670246377	0.8312873002435265	0.675476268324391	1.2583537614715212	0.20833611447971753	0.9510201747313337	3.9983005926326523	1.460607500732509	3.006887708333264	0.7221980488841331	0.6071649748904698	0.44452350035405913	0.6823071000678692	0.5248546981113473	0.8262889460633415	0.8612314875991756	0.48517703572695325	0.6493114826536225	0.7975256189920272
