	S334	S303	S387	S304	S241	S230	S369	S270	S336	S224	S255	S352	S268	S371	S355	S222	S218	S240
S334	0.0	2.502299927778722	4.107564420389543	1.527924144392337	0.9090698663088886	1.0753614740739652	1.9352152164541843	0.16739177991540574	1.6899798517135645	0.6548485389621537	1.4468442444932574	0.952235342664748	0.7391043220475532	1.4395848418353248	0.6550324703219295	0.5322923449002144	0.6179514533412669	4.286785410488568
S303	2.502299927778722	0.0	3.1830967488114066	1.0431442017454378	1.7596228631821533	1.8723057261776341	0.7300718158010288	2.5897395019384457	1.1143292556610631	2.0236137541832453	1.136399030564036	1.6661848888369652	2.8317563089135356	1.517989180872293	2.102666116999735	2.5514512174004382	2.653976347935694	2.601076191332477
S387	4.107564420389543	3.1830967488114066	0.0	3.202068262690833	3.9892757969061123	4.273499778612944	3.3148536566131805	4.1055025499713915	2.771386659247318	4.039995719828798	3.5363129906714432	3.877712719141669	3.865516343799587	4.12885322940148	4.192709442834517	4.453574948385268	4.641905412617751	5.6219729401903225
S304	1.527924144392337	1.0431442017454378	3.202068262690833	0.0	0.8941083567796227	1.1209049633109867	0.4807123828907273	1.590398728906042	0.45113636982009825	1.0827841586460494	0.33717141416939106	0.778766775990695	1.7951315500125802	0.930971641581349	1.2045193319885092	1.6152142028572982	1.7746623619142898	3.269050154188149
S241	0.9090698663088886	1.7596228631821533	3.9892757969061123	0.8941083567796227	0.0	0.3125084336761225	1.1591772538504441	0.9930383178339451	1.2564594620431007	0.3040460585297795	0.6592778802164205	0.11699547055769643	1.421259775862559	0.5385894444377658	0.3468187422575695	0.7975154719653575	0.9243531829643613	3.406169130475588
S230	1.0753614740739652	1.8723057261776341	4.273499778612944	1.1209049633109867	0.3125084336761225	0.0	1.2877048539272138	1.158423248104171	1.52158460216797	0.4835216440789163	0.8281965214054035	0.40628693552117245	1.626873401485397	0.4324822100109149	0.4254833280425306	0.8138618704982798	0.8956247961022253	3.2509536173079088
S369	1.9352152164541843	0.7300718158010288	3.3148536566131805	0.4807123828907273	1.1591772538504441	1.2877048539272138	0.0	1.9985053145106824	0.7776691870552827	1.3986600435659289	0.5057735526940306	1.0595992169181692	2.2230472463279853	0.9488631350708965	1.4991454047964132	1.9285230291566628	2.082977076891545	2.8564806441137134
S270	0.16739177991540574	2.5897395019384457	4.1055025499713915	1.590398728906042	0.9930383178339451	1.158423248104171	1.9985053145106824	0.0	1.7409532517541901	0.7144584858026921	1.5185510807614777	1.0323761536598846	0.5930367616324954	1.5191816594511751	0.7336054491689312	0.5455411435807271	0.6871883736377083	4.3889037231071555
S336	1.6899798517135645	1.1143292556610631	2.771386659247318	0.45113636982009825	1.2564594620431007	1.52158460216797	0.7776691870552827	1.7409532517541901	0.0	1.3867946954310122	0.7863477579777468	1.1413041721029613	1.8375507052459183	1.3766342584071385	1.5221953995036772	1.8906944182456407	2.0539149275136754	3.5740151367080597
S224	0.6548485389621537	2.0236137541832453	4.039995719828798	1.0827841586460494	0.3040460585297795	0.4835216440789163	1.3986600435659289	0.7144584858026921	1.3867946954310122	0.0	0.9025898761118493	0.3645163920988455	1.1483046522265783	0.8078829522086305	0.17197516164965135	0.5356845350867985	0.7261612730724601	3.691159720789665
S255	1.4468442444932574	1.136399030564036	3.5363129906714432	0.33717141416939106	0.6592778802164205	0.8281965214054035	0.5057735526940306	1.5185510807614777	0.7863477579777468	0.9025898761118493	0.0	0.5565370480787896	1.80726424262671	0.5946461009240446	0.9988180075574843	1.4342614984638928	1.5801600252159578	3.0884180960739505
S352	0.952235342664748	1.6661848888369652	3.877712719141669	0.778766775990695	0.11699547055769643	0.40628693552117245	1.0595992169181692	1.0323761536598846	1.1413041721029613	0.3645163920988455	0.5565370480787896	0.0	1.4266671852300332	0.5391727097402438	0.44315689758653753	0.8859435792425243	1.0250918151090584	3.392162105893703
S268	0.7391043220475532	2.8317563089135356	3.865516343799587	1.7951315500125802	1.421259775862559	1.626873401485397	2.2230472463279853	0.5930367616324954	1.8375507052459183	1.1483046522265783	1.80726424262671	1.4266671852300332	0.0	1.9267140134947334	1.2278046377258853	1.045306192366641	1.2474125624812484	4.809125082407195
S371	1.4395848418353248	1.517989180872293	4.12885322940148	0.930971641581349	0.5385894444377658	0.4324822100109149	0.9488631350708965	1.5191816594511751	1.3766342584071385	0.8078829522086305	0.5946461009240446	0.5391727097402438	1.9267140134947334	0.0	0.8148329021968455	1.227506211606528	1.3272555276510816	2.889542088656122
S355	0.6550324703219295	2.102666116999735	4.192709442834517	1.2045193319885092	0.3468187422575695	0.4254833280425306	1.4991454047964132	0.7336054491689312	1.5221953995036772	0.17197516164965135	0.9988180075574843	0.44315689758653753	1.2278046377258853	0.8148329021968455	0.0	0.45559941991593184	0.5914145891469634	3.669041556017703
S222	0.5322923449002144	2.5514512174004382	4.453574948385268	1.6152142028572982	0.7975154719653575	0.8138618704982798	1.9285230291566628	0.5455411435807271	1.8906944182456407	0.5356845350867985	1.4342614984638928	0.8859435792425243	1.045306192366641	1.227506211606528	0.45559941991593184	0.0	0.32485498472217	4.047242275569816
S218	0.6179514533412669	2.653976347935694	4.641905412617751	1.7746623619142898	0.9243531829643613	0.8956247961022253	2.082977076891545	0.6871883736377083	2.0539149275136754	0.7261612730724601	1.5801600252159578	1.0250918151090584	1.2474125624812484	1.3272555276510816	0.5914145891469634	0.32485498472217	0.0	4.053012642966194
S240	4.286785410488568	2.601076191332477	5.6219729401903225	3.269050154188149	3.406169130475588	3.2509536173079088	2.8564806441137134	4.3889037231071555	3.5740151367080597	3.691159720789665	3.0884180960739505	3.392162105893703	4.809125082407195	2.889542088656122	3.669041556017703	4.047242275569816	4.053012642966194	0.0
