	S223	S267	S343	S353	S225	S328	S389	S346	S330	S363	S382	S220	S215	S260	S368	S348	S211	S210	S206	S217	S351
S223	0.0	0.5196604516078842	1.0828886248608383	1.044227643438925	3.149705983314061	0.44689164966361217	3.817861660188519	0.28627614180771394	0.503863844288392	0.9156407865395696	1.236532772184307	0.9914818234498519	0.7539963136284684	0.79942117617972	1.1285383743473478	1.1930658019628737	1.064130291613081	1.1235745690897079	1.7763735084844081	1.1201092317834138	0.9886156919727351
S267	0.5196604516078842	0.0	1.4175365801397202	0.9586581623134977	2.8569431613129677	0.9015398019525183	4.231637314286722	0.5205227072741581	0.21536498346171165	1.0202630793268348	1.4492895264689314	0.9544578267277042	0.6143893987087361	0.6424973780822659	1.3370329331275466	0.9657834805134466	1.4734347097595772	0.6850923861853434	1.2724371382572455	1.6359215036093944	1.26694327510463
S343	1.0828886248608383	1.4175365801397202	0.0	0.9979517257482072	4.219081382389583	0.6707707622915928	4.076940880326051	1.3486900722888782	1.2415157164230808	0.6621708476894932	0.36950063671808875	2.0496445601159126	1.045781906792397	1.8786981103157259	0.40309119379839037	2.259211000275656	0.27067580298933086	1.653879447735618	2.5436393823048222	1.1074705847085178	0.37922129764824447
S353	1.044227643438925	0.9586581623134977	0.9979517257482072	0.0	3.7474201464360677	1.002458960693946	4.764982792308425	1.237909058487117	0.7526339834986796	0.3631334228941634	0.7956025561774445	1.8914968625885447	0.35653673220205817	1.589607577814951	0.6788200211017654	1.9208369221453516	1.1866361598707709	0.7759922139469508	1.6889951284601095	1.8359358732587623	0.7749982057053281
S225	3.149705983314061	2.8569431613129677	4.219081382389583	3.7474201464360677	0.0	3.5908598711352977	4.955887436632388	2.918150477771344	3.065899370297873	3.8703617725572887	4.2986624686622905	2.2433580610292916	3.4309385815561813	2.3526611570164206	4.190668309262372	1.9630988477638625	4.2093615544554615	3.071829452056253	2.426269544147124	3.9198831597336716	4.090013582434473
S328	0.44689164966361217	0.9015398019525183	0.6707707622915928	1.002458960693946	3.5908598711352977	0.0	3.7666837242226103	0.6949929059915702	0.7951552810820156	0.7366776717880162	0.9021376081853382	1.3971711674587481	0.8332751304670801	1.2411071526477457	0.811306548844512	1.6324849998116469	0.618882611946053	1.3670182072181085	2.137217787301303	0.8556487335385813	0.642643078371705
S389	3.817861660188519	4.231637314286722	4.076940880326051	4.764982792308425	4.955887436632388	3.7666837242226103	0.0	3.7703277360508123	4.296913061320862	4.490676634484322	4.437251741444287	3.609685326440134	4.534790744843627	3.891584459367185	4.432399837139111	3.978827912039172	3.85143909824307	4.910307691101514	5.30323136571878	2.9894222892742124	4.243069302531219
S346	0.28627614180771394	0.5205227072741581	1.3486900722888782	1.237909058487117	2.918150477771344	0.6949929059915702	3.7703277360508123	0.0	0.6061564431076447	1.1442948142496674	1.5058623160700415	0.7762333853037013	0.9354756422547177	0.5722029600373847	1.380140710165858	0.9846797916453731	1.3058166669065887	1.172690287453766	1.682125950153791	1.2412307097131945	1.2229844486645458
S330	0.503863844288392	0.21536498346171165	1.2415157164230808	0.7526339834986796	3.065899370297873	0.7951552810820156	4.296913061320862	0.6061564431076447	0.0	0.8147646849126022	1.2460617020379847	1.1457108479772171	0.40395075791252893	0.8480889138246801	1.136084060797458	1.1779399894890128	1.322716027344796	0.6264588549728748	1.3631239563856514	1.5913516298973167	1.0862745727977356
S363	0.9156407865395696	1.0202630793268348	0.6621708476894932	0.3631334228941634	3.8703617725572887	0.7366776717880162	4.490676634484322	1.1442948142496674	0.8147646849126022	0.0	0.5322524786384546	1.867356738329713	0.49793428455644256	1.6001269960056672	0.36560089171997007	1.9715171968921334	0.8320850688005744	1.0589435231491033	1.9565084784556541	1.525252751121378	0.4142601712844795
